review_text,review_date,review_title,review_stars,review_flavor
È arrivato molto rapidamente e in modo sicuro.,Recensito in Italia il 31 gennaio 2024,"5,0 su 5 stelle Fantastico prodotto","5,0 su 5 stelle",Recensito in Italia il 31 gennaio 2024
"Facile da usare e trasportare, compatta, dotata delle funzioni fondamentali per svolgere indagini termografiche elementari, ma anche di livello un po' più avanzato. La durata della batteria è sufficiente per indagini non molto prolungate, ma è comodo poterla ricaricare dalla USB tipo c. Immagini radiometriche salvabili anche su Cloud, molto comodo, a condizione di avere copertura internet.",Recensito in Italia il 21 maggio 2022,"5,0 su 5 stelle Ottima macchina per diagnosi preliminare","5,0 su 5 stelle",Recensito in Italia il 21 maggio 2022
"Qualità costruttiva ottima.Uso molto facile, sia per utenti all'inizio che esperti: la macchina può operare in modo completamente automatico, scegliendo da sola l'intervallo di temperature di misura, ma permette di impostare manualmente i limiti inferiore e superiore.Trovo molto comoda la sovrapposizione tra la termografi ed un'immagine ordinaria; la parallasse tra le due si può compensare impostando manualmente la distanza dal piano di misura.Non ho messo cinque stelle, perché trovo l'uso dell'applicazione di aiuto alla documentazione un po' macchinosa; ma d'altra parte, la cosa non è grave per l'uso che ne faccio io (ricerca nell'ambito della micro-meteorologia).",Recensito in Italia il 23 novembre 2020,"4,0 su 5 stelle Uso facilissimo, ed ottima qualità costruttiva.","4,0 su 5 stelle",Recensito in Italia il 23 novembre 2020
Perfetto strumento di diagnosi rapida!!,Recensito in Italia il 25 gennaio 2021,"5,0 su 5 stelle Perfetto strumento di diagnosi Rapida","5,0 su 5 stelle",Recensito in Italia il 25 gennaio 2021
"Dopo i primi giorni di ""buon"" funzionamento, si è improvvisamente bloccata. L'ho resa. Ad ogni modo la qualità del sensore non mi è apparsa poi così buona da giustificare questi costi. Brutta esperienza che non consiglio.",Recensito in Italia il 16 agosto 2022,"1,0 su 5 stelle PESSIMO","1,0 su 5 stelle",Recensito in Italia il 16 agosto 2022
"Nonostante il prezzo contenuto e la risoluzione bassa la termocamera fa egregiamente il suo lavoro. Le immagini sono relativamente ben definite e la tecnologia MSX aiuta moltissimo nell'interpretazione degli scenari. Tuttavia le funzionalità software della fotocamera sono molto immature e piene di bug:- Il wifi ha difficoltà a connettersi con molti router- Il servizio cloud ignite funziona poco e male: non sono mai riuscito a fargli caricare foto automaticamente nonostante l'opzione fosse stata abiltata nel menu della fotocamera, e il caricamento manuale dall'interfaccia ha funzionato una volta sola.- la fotocamera si è riavviata senza motivo un paio di volte- Il flash non ha mai funzionato neanche al buio, e non ho trovato sull interfaccia alcun modo di abilitarlo o disabilitarloConsiderato che senza l'ecosisema software della fotocamera ottengo la stessa qualità di immagine da una ONE Pro e che ho già un iPhone che ha un servizio di upload in cloud e image sharing che funziona :-) l'ho restituita e ho comprato una ONE Pro alla metà del costo",Recensito in Italia il 18 gennaio 2022,"3,0 su 5 stelle Tecnicamente un buon prodotto ma l'ecosistema software è molto immaturo","3,0 su 5 stelle",Recensito in Italia il 18 gennaio 2022
"Acquisto effettuato per verificare alcune problematiche ipotizzate su impianto fotovoltaico e dispersioni termiche interno edificio. L'acquisto si è rilevato nel complesso utile per la parte di verifica del fotovoltaico anche se risulta necessario uno piccolo studio sull'interpretazione e la taratura della camera, mentre del tutto inutile per le verifiche interne. Le immagini interne hanno una qualità troppo inferiore alle aspettative, ho così deciso di procedere con il resto. Visto il prezzo consiglio di ponderare bene l'acquisto.",Recensito in Italia il 28 ottobre 2022,"3,0 su 5 stelle acquisto da ponderare adeguatamente","3,0 su 5 stelle",Recensito in Italia il 28 ottobre 2022
Non è il massimo da tenere,Recensito in Italia il 3 settembre 2022,"4,0 su 5 stelle Discreta termocamera","4,0 su 5 stelle",Recensito in Italia il 3 settembre 2022
"Flir C5, ancora in fase di test. Frequentemente va riavviata per piccoli bug. Prodotto funzionale ad un primo approccio alle immagini ad infrarossi. Combinata all'esperienza professionale può essere di supporto per moatrare al cliente eventuali criticità dell'involucro edilizio.",Recensito in Italia il 15 novembre 2020,"3,0 su 5 stelle Flir C5 prime impressioni e test","3,0 su 5 stelle",Recensito in Italia il 15 novembre 2020
"Una stella perché il dispositivo che mi è stato inviato non è funzionante, all’accensione non porta a termine la procedura di avvio. Dalle recensioni negative per problemi di avvio identici mi viene il legittimo sospetto di pensare che i resi difettosi vengano rimessi in commercio senza opportuni controlli...effettuato subito il reso e riacquisterò il prodotto direttamente dal sito della FLIR...sotto a chi tocca!",Recensito in Italia il 10 gennaio 2021,"1,0 su 5 stelle Non funziona, neanche si accende","1,0 su 5 stelle",Recensito in Italia il 10 gennaio 2021
